dataset,additional_info,embedding_model,embedding_max_length,dr_method,dr_parameter,mn_ratio,fp_ratio,dimension_size,trustworthiness_ten_neigh,trustworthiness_fifty_neigh,trustworthiness_hundred_neigh,continuity_ten_neigh,continuity_fifty_neigh,continuity_hundred_neigh,pearson_corr,spearman_corr,ALS,AGS,Q,B,Q-B,NUM,Ss
20NG,body_only,qwen3-embedding:8b,1024,PCA,N/A,N/A,N/A,5,0.901,0.8932,0.8886,0.9615,0.94,0.9269,0.504,0.4861,0.918533333333333,0.49505,1.99821784027778,0.179338133611111,1.81887970666667,1.3486584840747,0.6743
20NG,body_only,qwen3-embedding:8b,1024,PCA,N/A,N/A,N/A,10,0.9589,0.946,0.939,0.9795,0.9604,0.9461,0.5444,0.5094,0.954983333333333,0.5269,2.19597821361111,0.183255340277777,2.01272287333333,1.4187046462648,0.7094
20NG,body_only,qwen3-embedding:8b,1024,PCA,N/A,N/A,N/A,50,0.9959,0.9904,0.9864,0.9968,0.9885,0.9787,0.6524,0.5975,0.9895,0.6250,2.6063,0.1329,2.4734,1.57271329555008,0.7864
20NG,body_only,qwen3-embedding:8b,1024,UMAP,30,N/A,N/A,5,0.9824,0.9693,0.9598,0.9779,0.9592,0.9461,0.5515,0.5404,0.9658,0.5460,2.2853,0.1763,2.1091,1.45226638167153,0.7261
20NG,body_only,qwen3-embedding:8b,1024,UMAP,30,N/A,N/A,10,0.9838,0.9704,0.9607,0.9779,0.9593,0.9462,0.5525,0.538,0.9664,0.54525,2.28503533444444,0.177353284444444,2.10768205,1.45178581409242,0.7259
20NG,body_only,qwen3-embedding:8b,1024,UMAP,30,N/A,N/A,50,0.9841,0.9708,0.9609,0.9779,0.9591,0.9458,0.551,0.5363,0.9664,0.54365,2.28035167361111,0.178745746944444,2.10160592666667,1.44969166606788,0.7248
20NG,body_only,qwen3-embedding:8b,2048,PaCMAP,30,2,0.5,5,0.9603,0.948,0.9412,0.9677,0.9437,0.9255,0.5329,0.5309,0.947733333333333,0.5319,2.18931480111111,0.172917361111111,2.01639744,1.41999909859126,0.71
20NG,body_only,qwen3-embedding:8b,2048,PaCMAP,30,2,0.5,10,0.9609,0.9483,0.9414,0.9677,0.9436,0.9252,0.5315,0.5302,0.9479,0.5309,2.1866,0.1739,2.0127,1.41868414032159,0.7093
20NG,body_only,qwen3-embedding:8b,2048,PaCMAP,30,2,0.5,50,0.9608,0.9483,0.9414,0.9675,0.9434,0.9251,0.5268,0.5277,0.9478,0.5273,2.1756,0.1768,1.9988,1.41379091452732,0.7069
20NG,body_only,qwen3-embedding:8b,2048,PCA,N/A,N/A,N/A,5,0.9012,0.8932,0.8887,0.9614,0.9401,0.9269,0.504,0.486,0.9186,0.495,1.99821784027778,0.179422840277777,1.818795,1.34862707966287,0.6743
