dataset,additional_info,embedding_model,embedding_max_length,dr_method,dr_parameter,mn_ratio,fp_ratio,dimension_size,trustworthiness_ten_neigh,trustworthiness_fifty_neigh,trustworthiness_hundred_neigh,continuity_ten_neigh,continuity_fifty_neigh,continuity_hundred_neigh,pearson_corr,spearman_corr,ALS,AGS,Q,B,Q-B,NUM,Ss
SV,cah_age_comment,google-bert/bert-base-uncased,512,UMAP,30,N/A,N/A,10,0.9626,0.9469,0.9377,0.966,0.9459,0.9355,0.6414,0.6163,0.9491,0.6289,2.4899262025,0.1025600625,2.38736614,1.5451103973503,0.7726
SV,cah_age_comment,google-bert/bert-base-uncased,512,UMAP,30,N/A,N/A,50,0.9628,0.9472,0.938,0.966,0.946,0.9356,0.6421,0.617,0.949266666666667,0.62955,2.49266206694445,0.102218746944445,2.39044332000001,1.54610585666054,0.7731
SV,cah_age_comment,google/bigbird-roberta-base,1024,PaCMAP,30,2,0.5,5,0.9538,0.9454,0.9405,0.964,0.9522,0.9453,0.8559,0.8012,0.9502,0.8286,3.1639515625,0.0147987225,3.14915284,1.77458525858861,0.8873
SV,cah_age_comment,google/bigbird-roberta-base,1024,PaCMAP,30,2,0.5,10,0.9567,0.9474,0.9421,0.9641,0.9524,0.9455,0.856,0.8013,0.9514,0.82865,3.16845933361111,0.0150593802777779,3.15339995333333,1.77578150495305,0.8879
SV,cah_age_comment,google/bigbird-roberta-base,1024,PaCMAP,30,2,0.5,50,0.9569,0.9475,0.9423,0.9641,0.9525,0.9455,0.856,0.8013,0.9515,0.82865,3.16881534694445,0.0150839336111112,3.15373141333334,1.77587483042396,0.8879
SV,cah_age_comment,google/bigbird-roberta-base,1024,PCA,N/A,N/A,N/A,5,0.9475,0.9442,0.9423,0.9823,0.9749,0.9709,0.9362,0.9069,0.9604,0.9216,3.5415,0.0015,3.5400,1.88149997874037,0.9407
SV,cah_age_comment,google/bigbird-roberta-base,1024,PCA,N/A,N/A,N/A,10,0.988,0.9846,0.9826,0.9955,0.9922,0.9901,0.9615,0.9436,0.988833333333333,0.9526,3.76896924694444,0.00131648027777775,3.76765276666666,1.94104424644743,0.9705
SV,cah_age_comment,google/bigbird-roberta-base,1024,PCA,N/A,N/A,N/A,50,0.9998,0.9994,0.9992,0.9999,0.9996,0.9995,0.9901,0.9855,0.9996,0.9878,3.9496,0.0001,3.9495,1.98733183271776,0.9937
SV,cah_age_comment,google/bigbird-roberta-base,1024,UMAP,30,N/A,N/A,5,0.9648,0.955,0.9492,0.973,0.9559,0.9466,0.8155,0.7597,0.957416666666667,0.7876,3.04508316694445,0.0288377002777779,3.01624546666667,1.7367341381647,0.8684
SV,cah_age_comment,google/bigbird-roberta-base,1024,UMAP,30,N/A,N/A,10,0.9709,0.9598,0.9533,0.9738,0.9568,0.9477,0.8195,0.7623,0.9604,0.7909,3.0670,0.0287,3.0383,1.74306302620798,0.8715
SV,cah_age_comment,google/bigbird-roberta-base,1024,UMAP,30,N/A,N/A,50,0.9709,0.9599,0.9535,0.9739,0.957,0.9478,0.8203,0.7632,0.9605,0.7918,3.0703800625,0.0284765625,3.0419035,1.7441053580561,0.8721
SV,cah_age_comment,google/bigbird-roberta-base,2048,PaCMAP,30,2,0.5,5,0.9503,0.942,0.9371,0.9632,0.9513,0.9443,0.8535,0.7987,0.948033333333333,0.8261,3.14754908444444,0.0148677377777777,3.13268134666666,1.76993823244391,0.885
SV,cah_age_comment,google/bigbird-roberta-base,2048,PaCMAP,30,2,0.5,10,0.9564,0.9472,0.9419,0.9641,0.9523,0.9453,0.8545,0.7996,0.9512,0.8271,3.1622,0.0154,3.1468,1.77391088840449,0.887
SV,cah_age_comment,google/bigbird-roberta-base,2048,PaCMAP,30,2,0.5,50,0.9564,0.9472,0.9419,0.9641,0.9523,0.9453,0.8545,0.7996,0.9512,0.8271,3.1622,0.0154,3.1468,1.77391088840449,0.887
